year_month,region,special_supply_units,special_supply_applications,special_supply_competition_rate,general_supply_units,general_supply_applications,general_supply_competition_rate
2024-02-23,서울,398,6254,15.71,377,22401,59.42
2024-02-23,부산,322,639,1.98,564,7328,12.99
2024-02-23,인천,394,83,(△311),376,450,1.2
2024-02-23,광주,25,0,(△25),166,43,(△123)
2024-02-23,경기,1437,1086,(△351),1414,3674,2.6
2024-02-23,충북,493,607,1.23,332,3369,10.15
2024-02-23,전남,27,1,(△26),45,10,(△35)
2024-02-23,경북,31,0,(△31),33,5,(△28)
2024-03-23,서울,371,5577,15.03,329,17013,51.71
2024-03-23,부산,1264,303,(△961),1120,2528,2.26
2024-03-23,인천,627,265,(△362),665,2176,3.27
2024-03-23,광주,454,406,(△48),639,6821,10.67
2024-03-23,울산,52,2,(△50),43,6,(△37)
2024-03-23,경기,1363,1246,(△117),1346,8630,6.41
2024-03-23,충북,106,1,(△105),94,33,(△61)
2024-03-23,충남,244,34,(△210),134,243,1.81
2024-03-23,전북,308,80,(△228),548,896,1.64
2024-03-23,경남,32,0,(△32),14,1,(△13)
2024-03-23,제주,0,0,0,66,13,(△53)
2024-04-23,서울,108,167,1.55,118,457,3.87
2024-04-23,부산,676,366,(△310),747,4601,6.16
2024-04-23,인천,333,16,(△317),307,271,(△36)
2024-04-23,광주,8,0,(△8),49,17,(△32)
2024-04-23,경기,2557,2463,(△94),2960,16802,5.68
2024-04-23,충북,1612,7178,4.45,1264,52176,41.28
2024-04-23,충남,0,0,0,60,6,(△54)
2024-04-23,전북,244,45,(△199),389,1212,3.12
2024-05-23,서울,154,5042,32.74,173,14222,82.21
2024-05-23,부산,462,65,(△397),510,1209,2.37
2024-05-23,대구,0,0,0,34,10,(△24)
2024-05-23,인천,0,0,0,50,31,(△19)
2024-05-23,광주,282,290,1.03,621,8400,13.53
2024-05-23,울산,118,6,(△112),75,39,(△36)
2024-05-23,경기,688,4416,6.42,1076,45499,42.29
2024-05-23,충남,176,11,(△165),182,164,(△18)
2024-05-23,경남,20,0,(△20),25,0,(△25)
2024-05-23,제주,0,0,0,136,16,(△120)
2024-06-23,서울,184,9489,51.57,205,25067,122.28
2024-06-23,부산,1533,2074,1.35,1537,21156,13.76
2024-06-23,인천,332,897,2.7,223,7980,35.78
2024-06-23,광주,337,198,(△139),440,4792,10.89
2024-06-23,울산,160,4,(△156),192,24,(△168)
2024-06-23,경기,2630,935,(△1695),2943,12711,4.32
2024-06-23,강원,529,43,(△486),623,458,(△165)
2024-06-23,충북,590,331,(△259),343,2288,6.67
2024-06-23,충남,884,463,(△421),963,11546,11.99
2024-06-23,제주,0,0,0,425,115,(△310)
2024-07-23,서울,243,7687,31.63,546,52570,96.28
2024-07-23,부산,33,4,(△29),35,34,(△1)
